serial_number,name,source_group,source_desc,unit_cost,acquisition_date
24041700035,Drone Battery 24041700035,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240425000109,Drone Battery 240425000109,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032800402,Drone Battery 24032800402,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032500167,Drone Battery 24032500167,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24041700014,Drone Battery 24041700014,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032600159,Drone Battery 24032600159,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240419000031,Drone Battery 240419000031,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032300290,Drone Battery 24032300290,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032800359,Drone Battery 24032800359,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032700062,Drone Battery 24032700062,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032500144,Drone Battery 24032500144,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032500045,Drone Battery 24032500045,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032600245,Drone Battery 24032600245,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240425000212,Drone Battery 240425000212,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240415000074,Drone Battery 240415000074,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032700011,Drone Battery 24032700011,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240415000317,Drone Battery 240415000317,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032600341,Drone Battery 24032600341,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240403000384,Drone Battery 240403000384,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240412000067,Drone Battery 240412000067,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240415000224,Drone Battery 240415000224,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240425000119,Drone Battery 240425000119,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032000080,Drone Battery 24032000080,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240407000211,Drone Battery 240407000211,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032500305,Drone Battery 24032500305,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032800080,Drone Battery 24032800080,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240406000146,Drone Battery 240406000146,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032600439,Drone Battery 24032600439,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24031100545,Drone Battery 24031100545,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24041700033,Drone Battery 24041700033,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240407000280,Drone Battery 240407000280,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032900100,Drone Battery 24032900100,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032600452,Drone Battery 24032600452,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24031800219,Drone Battery 24031800219,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032600095,Drone Battery 24032600095,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240406000514,Drone Battery 240406000514,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032500087,Drone Battery 24032500087,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24032700084,Drone Battery 24032700084,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240410000415,Drone Battery 240410000415,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24041700043,Drone Battery 24041700043,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240425000172,Drone Battery 240425000172,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
240415000093,Drone Battery 240415000093,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24041700041,Drone Battery 24041700041,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
24041700047,Drone Battery 24041700047,Drone Battery,IT1 SP Damoda Drone Battery,1655220,2025-01-30
