code,code_generated,name,owner,category,status,acq_date,cost,accum,book_value,remaining_life,method
AS0000868545,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868546,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868547,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868548,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868549,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868550,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868551,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868552,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868553,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868554,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868555,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868556,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868557,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868558,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868559,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868560,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868561,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868562,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868563,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868564,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868565,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868566,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
AS0000868567,0,Damoda Drone Battery,PT AIM,Komponen Drone,Registered Asset,2025-06-18,1655220.72,413805.18,1241415.54,36,Straight Line
