code,code_generated,name,owner,category,status,acq_date,cost,accum,book_value,remaining_life,method
AS-AIM-0001,1,Damoda Drone Base Battery,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-AIM-0002,1,Damoda Drone Base Battery,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-AIM-0003,1,Damoda Drone Base Battery,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-AIM-0004,1,Damoda Drone Base Battery,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-AIM-0005,1,Damoda Drone Base Battery,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-AIM-0006,1,Damoda Drone Base Battery,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-AIM-0007,1,Damoda Drone Base Battery,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-AIM-0008,1,Damoda Drone Base Battery,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-AIM-0009,1,Damoda Drone Base Battery,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-AIM-0010,1,Damoda Drone Base Battery,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-AIM-0011,1,Damoda Drone Base Battery,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-AIM-0012,1,Damoda Drone Base Battery,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,456361.0,0.0,0.0,0,
AS-AIM-0013,1,Drone Anemometer,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,632060.0,0.0,0.0,0,
AS-AIM-0014,1,Drone Anemometer,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,632060.0,0.0,0.0,0,
AS-AIM-0015,1,Drone Anemometer,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,632060.0,0.0,0.0,0,
AS-AIM-0016,1,Damoda Adapter for Drone AP,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-AIM-0017,1,Damoda Adapter for Drone AP,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-AIM-0018,1,Damoda Adapter for Drone AP,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-AIM-0019,1,Damoda Adapter for Drone AP,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-AIM-0020,1,Damoda Adapter for Drone AP,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-AIM-0021,1,Damoda Adapter for Drone AP,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-AIM-0022,1,Damoda Adapter for Drone AP,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-AIM-0023,1,Damoda Adapter for Drone AP,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-AIM-0024,1,Damoda Adapter for Drone AP,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-AIM-0025,1,Damoda Adapter for Drone AP,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-AIM-0026,1,Damoda Adapter for Drone AP,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,159726.0,0.0,0.0,0,
AS-AIM-0027,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0028,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0029,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0030,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0031,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0032,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0033,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0034,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0035,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0036,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0037,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0038,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0039,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0040,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0041,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0042,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0043,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0044,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0045,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0046,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0047,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0048,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0049,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0050,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0051,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0052,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0053,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0054,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0055,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0056,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
