code,serial_number
AS0000868545,24041700035
AS0000868546,240425000109
AS0000868547,24032800402
AS0000868548,24032500167
AS0000868549,24041700014
AS0000868550,24032600159
AS0000868551,240419000031
AS0000868552,24032300290
AS0000868553,24032800359
AS0000868554,24032700062
AS0000868555,24032500144
AS0000868556,24032500045
AS0000868557,24032600245
AS0000868558,240425000212
AS0000868559,240415000074
AS0000868560,24032700011
AS0000868561,240415000317
AS0000868562,24032600341
AS0000868563,240403000384
AS0000868564,240412000067
AS0000868565,240415000224
AS0000868566,240425000119
AS0000868567,24032000080
AS0000868568,240407000211
AS0000868569,24032500305
AS0000868570,24032800080
AS0000868571,240406000146
AS0000868572,24032600439
AS0000868573,24031100545
AS0000868574,24041700033
AS0000868575,240407000280
AS0000868576,24032900100
AS0000868577,24032600452
AS0000868578,24031800219
AS0000868579,24032600095
AS0000868580,240406000514
AS0000868581,24032500087
AS0000868582,24032700084
AS0000868583,240410000415
AS0000868584,24041700043
AS0000868585,240425000172
AS0000868586,240415000093
AS0000868587,24041700041
AS0000868588,24041700047
AS0000868589,24032600018
AS0000868590,24032500252
AS0000868591,240415000292
AS0000868592,24041700026
AS0000868593,24041700012
AS0000868594,240419000025
AS0000868595,240415000173
AS0000868596,24032900152
AS0000868597,240425000072
AS0000868598,24032500386
AS0000868599,240419000106
AS0000868600,24033000282
AS0000868601,24032900160
AS0000868602,240415000296
AS0000868603,24032500188
AS0000868604,24033000274
AS0000868605,240419000157
AS0000868606,240415000229
AS0000868607,240415000187
AS0000868608,24032800176
AS0000868609,240425000011
AS0000868610,240425000067
AS0000868611,240425000068
AS0000868612,24032800103
AS0000868613,24032300133
AS0000868614,240415000094
AS0000868615,240419000062
AS0000868616,240409000537
AS0000868617,24032700113
AS0000868618,240425000235
AS0000868619,240406000018
AS0000868620,240425000076
AS0000868621,240415000108
AS0000868622,240425000189
AS0000868623,240425000199
AS0000868624,240419000090
AS0000868625,24031101015
AS0000868626,24031100725
AS0000868627,24031100803
AS0000868628,240425000029
AS0000868629,24032700046
AS0000868630,24031100787
AS0000868631,24031100917
AS0000868632,24032700009
AS0000868633,24033000095
AS0000868634,24031101035
AS0000868635,24032600399
AS0000868636,24031100217
AS0000868637,24031100293
AS0000868638,24031100219
AS0000868639,24031100701
AS0000868640,24031101007
AS0000868641,240425000059
AS0000868642,24032300294
AS0000868643,24032600270
AS0000868644,240425000188
AS0000868645,24032800108
AS0000868646,240427000014
AS0000868647,240407000363
AS0000868648,240419000134
AS0000868649,24031100617
AS0000868650,24032600485
AS0000868651,24032600454
AS0000868652,240410000355
AS0000868653,24032700063
AS0000868654,24032600110
AS0000868655,24032800352
AS0000868656,24031101023
AS0000868657,240415000332
AS0000868658,240406000260
AS0000868659,24032800391
AS0000868660,240415000030
AS0000868661,24031100995
AS0000868662,240425000032
AS0000868663,24032600483
AS0000868664,24031100805
AS0000868665,240425000017
AS0000868666,240403000492
AS0000868667,240425000181
AS0000868668,240415000077
AS0000868669,240403000345
AS0000868670,240412000033
AS0000868671,240425000016
AS0000868672,24032900169
AS0000868673,240425000075
AS0000868674,240419000116
AS0000868675,240403000103
AS0000868676,240425000043
AS0000868677,240409000027
AS0000868678,240425000014
AS0000868679,240425000051
AS0000868680,240406000017
AS0000868681,240425000187
AS0000868682,240409000583
AS0000868683,240406000187
AS0000868684,240406000495
AS0000868685,240403000174
AS0000868686,240406000624
AS0000868687,24033000143
AS0000868688,24032800365
AS0000868689,240415000145
AS0000868690,240407000456
AS0000868691,240425000226
AS0000868692,24032600272
AS0000868693,240412000046
AS0000868694,240407000511
AS0000868695,24033000189
AS0000868696,240425000054
AS0000868697,240415000059
AS0000868698,240419000088
AS0000868699,240407000381
AS0000868700,240409000433
AS0000868701,240403000527
AS0000868702,240410000163
AS0000868703,24032800064
AS0000868704,240412000091
AS0000868705,24032800529
AS0000868706,24032500337
AS0000868707,24032800157
AS0000868708,24031100233
AS0000868709,24031100227
AS0000868710,24032600019
AS0000868711,24032500423
AS0000868712,24032600410
AS0000868713,24031100897
AS0000868714,240407000544
AS0000868715,240409000026
AS0000868716,24032500253
AS0000868717,240403000249
AS0000868718,24031100653
AS0000868719,240427000013
AS0000868720,240425000112
AS0000868721,24031100777
AS0000868722,24031100031
AS0000868723,24032800092
AS0000868724,24031100755
AS0000868725,24031100793
AS0000868726,240410000373
AS0000868727,24032700122
AS0000868728,240419000087
AS0000868729,240415000241
AS0000868730,240407000153
AS0000868731,24032500016
AS0000868732,24032600144
AS0000868733,24032500129
AS0000868734,24032700095
AS0000868735,24032500141
AS0000868736,24032500190
AS0000868737,240409000188
AS0000868738,24031100281
AS0000868739,24032500218
AS0000868740,240425000128
AS0000868741,24032800126
AS0000868742,24031100299
AS0000868743,24032600115
AS0000868744,24032500257
AS0000868745,24031900198
AS0000868746,240407000056
AS0000868747,240403000327
AS0000868748,24032500013
AS0000868749,24032100185
AS0000868750,240406000080
AS0000868751,24032700161
AS0000868752,24032800227
AS0000868753,240419000071
AS0000868754,24032300243
AS0000868755,24032500150
AS0000868756,24032800512
AS0000868757,24032800242
AS0000868758,240406000093
AS0000868759,240403000541
AS0000868760,24032800395
AS0000868761,24032700081
AS0000868762,240407000262
AS0000868763,24032600295
AS0000868764,24032700075
AS0000868765,240410000252
AS0000868766,240415000325
AS0000868767,24032600009
AS0000868768,240406000066
AS0000868769,24032500053
AS0000868770,240412000305
AS0000868771,240419000063
AS0000868772,24032800073
AS0000868773,240419000126
AS0000868774,24032800511
AS0000868775,240415000218
AS0000868776,24032600388
AS0000868777,24032500255
AS0000868778,240403000245
AS0000868779,24032500407
AS0000868780,24032500273
AS0000868781,24032700163
AS0000868782,24032500186
AS0000868783,24032500411
AS0000868784,24032600017
AS0000868785,24032600458
AS0000868786,24032700211
AS0000868787,24032800397
AS0000868788,240415000288
AS0000868789,24032700197
AS0000868790,24032500116
AS0000868791,24032500194
AS0000868792,24032700257
AS0000868793,24032500420
AS0000868794,24031100659
AS0000868795,24031100571
AS0000868796,24031100583
AS0000868797,240425000098
AS0000868798,24032900053
AS0000868799,24032500325
AS0000868800,24032700157
AS0000868801,24032500366
AS0000868802,24032500310
AS0000868803,24031100265
AS0000868804,24032600321
AS0000868805,24032800337
AS0000868806,24031101242
AS0000868807,2024011301625
AS0000868808,240415000029
AS0000868809,24032700125
AS0000868810,2024011301625
AS0000868811,24032700010
AS0000868812,24033000089
AS0000868813,240425000070
AS0000868814,24032500372
AS0000868815,24032800019
AS0000868816,24032600281
AS0000868817,24032700160
AS0000868818,24031100393
AS0000868819,24032900201
AS0000868820,24032600319
AS0000868821,24032600147
AS0000868822,24032600415
AS0000868823,24032500054
AS0000868824,24031100235
AS0000868825,24032700119
AS0000868826,240403000475
AS0000868827,24032700256
AS0000868828,240406000279
AS0000868829,240425000077
AS0000868830,24033000063
AS0000868831,24032600085
AS0000868832,24031100567
AS0000868833,24032500271
AS0000868834,24031101288
AS0000868835,24032600050
AS0000868836,240425000095
AS0000868837,240415000334
AS0000868838,24032300107
AS0000868839,24032600051
AS0000868840,24032700104
AS0000868841,24032600254
AS0000868842,24032700103
AS0000868843,24032500189
AS0000868844,240419000057
AS0000868845,24032800121
AS0000868846,24032800029
AS0000868847,240412000085
AS0000868848,24032600157
AS0000868849,240410000052
AS0000868850,24031100263
AS0000868851,24032500157
AS0000868852,240403000102
AS0000868853,24032600107
AS0000868854,24032800026
AS0000868855,24032600094
AS0000868856,24032800429
AS0000868857,24032600449
AS0000868858,240406000299
AS0000868859,24032800522
AS0000868860,240415000018
AS0000868861,240403000270
AS0000868862,240415000242
AS0000868863,24032600223
AS0000868864,24032600196
AS0000868865,24032000282
AS0000868866,24032800146
AS0000868867,24032900110
AS0000868868,24032000051
AS0000868869,24032500206
AS0000868870,24032800231
AS0000868871,24033000162
AS0000868872,24032500256
AS0000868873,24032600026
AS0000868874,240427000005
AS0000868875,24032200085
AS0000868876,24032000168
AS0000868877,24032000258
AS0000868878,24032800226
AS0000868879,24031100959
AS0000868880,24032600181
AS0000868881,24032600192
AS0000868882,240425000180
AS0000868883,24032500006
AS0000868884,24031100933
AS0000868885,240425000108
AS0000868886,24032500119
AS0000868887,24031100587
AS0000868888,24032700266
AS0000868889,240407000567
AS0000868890,24031101244
AS0000868891,24032600284
AS0000868892,24032600390
AS0000868893,24032600111
AS0000868894,24031100797
AS0000868895,24032600188
AS0000868896,240409000548
AS0000868897,24032500385
AS0000868898,24031100275
AS0000868899,24032500021
AS0000868900,24031100271
AS0000868901,24032700074
AS0000868902,24032800311
AS0000868903,24032700053
AS0000868904,24032600224
AS0000868905,24032500378
AS0000868906,240407000605
AS0000868907,24032600261
AS0000868908,24032600407
AS0000868909,24032700198
AS0000868910,24032500265
AS0000868911,24032800331
AS0000868912,24032000251
AS0000868913,240427000008
AS0000868914,24032500301
AS0000868915,24032700050
AS0000868916,24032000100
AS0000868917,24032600075
AS0000868918,24032500124
AS0000868919,24032600428
AS0000868920,240409000536
AS0000868921,24032300296
AS0000868922,24032500302
AS0000868923,24031100915
AS0000868924,24032500343
AS0000868925,24032000216
AS0000868926,24032000059
AS0000868927,24032000047
AS0000868928,240410000335
AS0000868929,240419000070
AS0000868930,24032500182
AS0000868931,24032500377
AS0000868932,24031100961
AS0000868933,24032000196
AS0000868934,24031100559
AS0000868935,24032600023
AS0000868936,24032000090
AS0000868937,24031900005
AS0000868938,24032600146
AS0000868939,24032200056
AS0000868940,24032000050
AS0000868941,24032000055
AS0000868942,24032000182
AS0000868943,240425000231
AS0000868944,24032600372
AS0000868945,240415000105
AS0000868946,24032500118
