code,name,debit,credit
1103019270,BCA - IDR-268.695.5777 - Main Bank,2470000,0
1103019280,BCA - IDR-268.150.7878 - Main Bank,548264616,0
1105020007,Time Deposit-IDR-PT Bank Rakyat Indonesia Tbk,7250000000,0
1109000008,Interest Receivables - Third Parties,7827945,0
1110000001,Non Trade Receivables - Related Parties,6337500,0
1115200001,Advance for payment of operational expenses,152500000,0
1116100007,Other prepaid expenses,36802860,0
1117100002,Prepaid Income tax art. 23,75090089,0
1117200001,VAT In,2453107265,0
1203002000,INVESTMENT >=50%,2544846500,0
1205104000,Fixed Assets - Cost - Office and outlet equipment,27110131391,0
1205203000,Fixed asset-Accum depre-Office and outlet equipmnt,0,6776493895
2103300001,Non trade payable - Third parties,0,30709236
2103300090,Non Trade - third parties - Others,0,80000
3001100001,Share capital,0,35000000000
3006100001,Retained earnings - beginning,0,767003961
5122000000,Gross Sales-Rental Asset,0,585585585
7101007000,Exhibition,2455000,0
7201015000,Labor Cost - GA,15354620,0
7202001000,Consultant Fee,170107145,0
7204103000,Depre Exp-Fixed Asset-Office and outlet equipment,2817832210,0
7211003000,Office supplies,43566554,0
7299012000,Bank Administrative,375000,0
7699000000,other operating income,0,125
7799000000,Other operating expense,27027027,0
7801000000,Interest on Current account,0,11266611
7802000000,Interest on Placement of Deposits,0,92956309
