code,name,debit,credit
1103019290,BCA - IDR-268.262.6268 - Main Bank,2105000,0
1103019300,BCA - IDR-268.222.9595 - Main Bank,215140151,0
1105020007,Time Deposit-IDR-PT Bank Rakyat Indonesia Tbk,4800000000,0
1109000008,Interest Receivables - Third Parties,3471780,0
2103400001,Non trade payable - Related parties,0,6337500
3001100001,Share capital,0,5000000000
3006100001,Retained earnings - beginning,10104900,0
7203006000,VAT,2204400,0
7211001000,Office Stationary,70000,0
7214001000,Office Rental,20040000,0
7299012000,Bank Administrative,1140000,0
7802000000,Interest on Placement of Deposits,0,47938731
