code,txn_date,doc_no,journal_no,partner,notes,debit,credit
1103019300,2026-01-01,Saldo Awal Bank,202512080001,,Saldo Awal,5003070000.0,0.0
1103019300,2026-01-31,Buku Giro,20260131004,BCA,Biaya Adm Bulan Jan 25,0.0,30000.0
1103019300,2026-02-10,Buku Cek,20260210010,,ND-BUKU CEK/BG,0.0,275000.0
1103019300,2026-02-10,Buku Cek,20260210010,,ND-BUKU CEK/BG,0.0,275000.0
1103019300,2026-02-11,TRSF,20260211011,,TRSF DARI ATS DARI 2682626268,540000.0,0.0
1103019300,2026-02-12,PPH Jan 26,20260212012,KAS NEGARA,KN-bayar pph 4(2) Jan 2026,0.0,2004000.0
1103019300,2026-02-20,Deposito,20260220013,BRI,Penempatan Deposito,0.0,4800000000.0
1103019300,2026-02-20,Admin Deposito,20260220014,,Admin Deposito,0.0,15000.0
1103019300,2026-02-25,Claim Stempel,20260225015,Nuri Pancawati,By Stempel PT ARKA 1 pcs,0.0,70000.0
1103019300,2026-02-25,Setoran Awal Bank,20260225016,,Pengembalian bayar setoran awal bank,0.0,6200000.0
1103019300,2026-02-25,Claim,20260225017,,Claim pembayaran pph 4(2),0.0,334000.0
1103019300,2026-02-26,1200000021,20260226021,PT Era Sukses Abadi,Byr Sewa Kantor EP Jan-Des 2026 - PT ESA,0.0,20240400.0
1103019300,2026-02-27,18-0001,20260227022,PT Era Sukses Abadi,ESA-Sewa kantor di EP Nov-Des 2025,0.0,3373400.0
1103019300,2026-02-28,Admin,20260228023,,Admin Bulanan,0.0,30000.0
1103019300,2026-03-25,Budep 0326,20260325027,,Bunga deposito Mar 2026,13989440.0,0.0
1103019300,2026-03-31,Admin,20260331028,,Admin Bulanan,0.0,30000.0
1103019300,2026-04-20,Budep 0426 LLG-BRI BUDEP 033932 03393,20260420031,,Bunga deposito Apr 2026 LLG-BRI BUDEP 033932 03393,15488619.0,0.0
1103019300,2026-04-28,Admin,20260430032,,Admin Bulanan,0.0,30000.0
1103019300,2026-05-20,Budep 0526 LLG-BRI BUDEP 033932 033930 033931,20260420031,,Bunga deposito Mei 2026 LLG-BRI BUDEP 033932 033930 033931,14988892.0,0.0
1103019300,2026-05-31,Admin,20260430032,,Admin Bulanan,0.0,30000.0
1103019290,2026-01-01,Saldo Awal Bank,202512080002,,Saldo Awal,3070000.0,0.0
1103019290,2026-01-31,Buku Giro,20260131003,BCA,Biaya Adm Bulan Jan 25,0.0,30000.0
1103019290,2026-02-11,TRSF,20260211011,,TRSF DARI ATS DARI 2682626268,0.0,540000.0
1103019290,2026-02-12,Buku Cek,20260212024,,ND-BUKU CEK/BG,0.0,275000.0
1103019290,2026-02-28,Admin,20260228025,,Admin Bulanan,0.0,30000.0
1103019290,2026-03-31,Admin,20260331026,,Admin Bulanan,0.0,30000.0
1103019290,2026-04-30,Admin,20260430033,,Admin Bulanan,0.0,30000.0
1103019290,2026-05-31,Admin,20260531036,,Admin Bulanan,0.0,30000.0
1105020007,2026-02-20,Deposito,20260220013,BRI,Penempatan Deposito,4800000000.0,0.0
1109000008,2026-05-31,Accrue Budep 0526,20260531036,BRI,Accrue bunga deposito Mei 2026,3471780.0,0.0
2103400001,2025-12-31,18-0003,202512310009,PT AERO INOVASI MEDIA,by SK akta pendirian PT AERO REKSA KREASI ANGKASA,0.0,6337500.0
3001100001,2025-12-19,Buku Giro,202512080004,,Setoran Modal Kreatif Intel Teknologi,0.0,1225000000.0
3001100001,2025-12-19,Buku Giro,202512080005,,Setoran Modal Helvio Glovin Teknologi ( Ubiklan ),0.0,1225000000.0
3001100001,2025-12-23,Buku Giro,202512080006,,Setoran Modal Aero Inovasi Media ( AIM ),0.0,2550000000.0
