"id","code","name","account_type","reconcile","company_ids/id"
"account_arka_1102000001","1102000001","Cash on hand - IDR","asset_cash","False","base.main_company"
"account_arka_1102000002","1102000002","Cash on hand - USD","asset_cash","False","base.main_company"
"account_arka_1102000003","1102000003","Cash on hand - MYR","asset_cash","False","base.main_company"
"account_arka_1102000004","1102000004","Cash on hand - SGD","asset_cash","False","base.main_company"
"account_arka_1103019300","1103019300","BCA - IDR-268.222.9595 - Main Bank","asset_cash","True","base.main_company"
"account_arka_1103019290","1103019290","BCA - IDR-268.262.6268 - Main Bank","asset_cash","True","base.main_company"
"account_arka_1103019270","1103019270","BCA - IDR-268.695.5777 - Main Bank","asset_cash","True","base.main_company"
"account_arka_1103019280","1103019280","BCA - IDR-268.150.7878 - Main Bank","asset_cash","True","base.main_company"
"account_arka_1105010001","1105010001","Gold Bullions","asset_cash","False","base.main_company"
"account_arka_1105020001","1105020001","Time Deposit-IDR-PT Bank Central Asia Tbk","asset_cash","False","base.main_company"
"account_arka_1105020007","1105020007","Time Deposit-IDR-PT Bank Rakyat Indonesia Tbk","asset_cash","False","base.main_company"
"account_arka_1105020008","1105020008","Time Deposit-IDR-PT Bank Nasional Indonesia Tbk","asset_cash","False","base.main_company"
"account_arka_1106000001","1106000001","Trade Receivables - Third Parties","asset_receivable","True","base.main_company"
"account_arka_1106000097","1106000097","Vendor with debit balances - Trade third parties","asset_receivable","True","base.main_company"
"account_arka_1106000099","1106000099","Customer for receivables adj-Trade third parties","asset_receivable","True","base.main_company"
"account_arka_1107000001","1107000001","Trade Receivables - Related Parties","asset_receivable","True","base.main_company"
"account_arka_1107000002","1107000002","Unbilled Trade Receivables  - Related Parties","asset_receivable","True","base.main_company"
"account_arka_1107000999","1107000999","Trade Receivables - Related Parties (forex)","asset_receivable","True","base.main_company"
"account_arka_1108000001","1108000001","Allowance for impairment of trade rec-Third Party","asset_receivable","True","base.main_company"
"account_arka_1108000002","1108000002","Allowance for impairment of trade rec-Relate Party","asset_receivable","True","base.main_company"
"account_arka_1108000003","1108000003","Allowance for impairment of other rec-Third Party","asset_receivable","True","base.main_company"
"account_arka_1108000004","1108000004","Allowance for impairment of other rec-Relate Party","asset_receivable","True","base.main_company"
"account_arka_1109000001","1109000001","Employee Receivables","asset_receivable","True","base.main_company"
"account_arka_1109000002","1109000002","Non Trade Receivables - cash advance","asset_receivable","True","base.main_company"
"account_arka_1109000003","1109000003","Unbilled Non Trade Receivables  - Third Parties","asset_receivable","True","base.main_company"
"account_arka_1109000004","1109000004","Unbilled Non Trade Receivables  - Third - Claim","asset_receivable","True","base.main_company"
"account_arka_1109000006","1109000006","Non Trade Receivables - Third Parties","asset_receivable","True","base.main_company"
"account_arka_1109000008","1109000008","Interest Receivables - Third Parties","asset_receivable","True","base.main_company"
"account_arka_1109000009","1109000009","Other Non Trade Receivables - third parties","asset_receivable","True","base.main_company"
"account_arka_1109000097","1109000097","Vendor with debit balances-Non Trade-Third parties","asset_receivable","True","base.main_company"
"account_arka_1109000098","1109000098","BIC unsettled Receivable - Non Trade third parties","asset_receivable","True","base.main_company"
"account_arka_1109000099","1109000099","Customer for receivable adj-Non Trade third party","asset_receivable","True","base.main_company"
"account_arka_1109000999","1109000999","Non Trade Receivables - Third Parties (forex)","asset_receivable","True","base.main_company"
"account_arka_1110000001","1110000001","Non Trade Receivables - Related Parties","asset_receivable","True","base.main_company"
"account_arka_1110000002","1110000002","Intercompany Interest Receivables - Related Party","asset_receivable","True","base.main_company"
"account_arka_1110000003","1110000003","Unbilled Non Trade Receivables  - Related Parties","asset_receivable","True","base.main_company"
"account_arka_1110000999","1110000999","Non Trade Receivables - Related Parties (forex)","asset_receivable","True","base.main_company"
"account_arka_1111000001","1111000001","Intercompany loan Receivables","asset_receivable","True","base.main_company"
