id,name,bic,l10n_id_bi_code
res_bank_7670000,ARTAJASA PEMBAYARAN ELEK. (RTGS),ATJSIDJ2,7670000
res_bank_5550018,BANK INDEX SELINDO,BIDXIDJA,5550018
res_bank_0010016,BANK INDONESIA,INDOIDJA,0010016
res_bank_1149928,BANK JATIM UNIT USAHA SYARIAH,SYJTIDJ1,1149928
res_bank_0330301,BANK OF AMERICA NA,BOFAID2X,0330301
res_bank_0690300,BANK OF CHINA (HONG KONG) LIMITED,BKCHIDJA,0690300
res_bank_0018102,"BI CABANG AMBON,AMB",INDOIDJA,0018102
res_bank_0015707,"BI CABANG BALIKPAPAN,BLP",INDOIDJA,0015707
res_bank_0013204,"BI CABANG BANDA ACEH,BDA",INDOIDJA,0013204
res_bank_0013903,"BI CABANG BANDAR LAMPUNG,BDL",INDOIDJA,0013903
res_bank_0010100,"BI CABANG BANDUNG,BDG",INDOIDJA,0010100
res_bank_0015105,BI CABANG BANJARMASIN,INDOIDJA,0015105
res_bank_0013709,"BI CABANG BATAM,BTM",INDOIDJA,0013709
res_bank_0012302,BI CABANG BENGKULU,INDOIDJA,0012302
res_bank_0011400,"BI CABANG CIREBON,CRB",INDOIDJA,0011400
res_bank_0017200,"BI CABANG DENPASAR,BALI",INDOIDJA,0017200
res_bank_0019985,BI CABANG GORONTALO,INDOIDJA,0019985
res_bank_0013107,BI CABANG JAMBI,INDOIDJA,0013107
res_bank_0018209,BI CABANG JAYAPURA,INDOIDJA,0018209
res_bank_0010401,"BI CABANG JEMBER,JBR",INDOIDJA,0010401
res_bank_0010605,"BI CABANG KEDIRI,KDR",INDOIDJA,0010605
res_bank_0016900,"BI CABANG KENDARI,KDI",INDOIDJA,0016900
res_bank_0017404,"BI CABANG KUPANG,KPG",INDOIDJA,0017404
res_bank_0014106,"BI CABANG LHOKSEUMAWE,LSM",INDOIDJA,0014106
res_bank_0010702,"BI CABANG MALANG,MLG",INDOIDJA,0010702
res_bank_0016201,"BI CABANG MANADO,MDO",INDOIDJA,0016201
res_bank_0017103,"BI CABANG MATARAM,CKA",INDOIDJA,0017103
res_bank_0013301,"BI CABANG MEDAN,MDN",INDOIDJA,0013301
res_bank_0013408,"BI CABANG PADANG,PDG",INDOIDJA,0013408
res_bank_0015804,BI CABANG PALANGKARAYA,INDOIDJA,0015804
res_bank_0013602,"BI CABANG PALEMBANG,PLG",INDOIDJA,0013602
res_bank_0016007,"BI CABANG PALU,PLS",INDOIDJA,0016007
res_bank_0019987,BI CABANG PANGKAL PINANG,INDOIDJA,0019987
res_bank_0013505,"BI CABANG PEKAN BARU,PKB",INDOIDJA,0013505
res_bank_0015309,"BI CABANG PONTIANAK,PTK",INDOIDJA,0015309
res_bank_0015406,"BI CABANG SAMARINDA,SMD",INDOIDJA,0015406
res_bank_0010906,"BI CABANG SEMARANG,SMG",INDOIDJA,0010906
res_bank_0019988,BI CABANG SERANG,INDOIDJA,0019988
res_bank_0010704,BI CABANG SIBOLGA,INDOIDJA,0010704
res_bank_0011002,"BI CABANG SOLO,SLO",INDOIDJA,0011002
res_bank_0011206,"BI CABANG SURABAYA,SBY",INDOIDJA,0011206
