id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_ic_rule_admin,intercompany rule admin,model_account_intercompany_rule,group_consolidation_admin,1,1,1,1
access_ic_rule_acc_mgr,intercompany rule mgr,model_account_intercompany_rule,account.group_account_manager,1,0,0,0
access_ic_mapping_admin,ic account mapping admin,model_account_intercompany_account_mapping,group_consolidation_admin,1,1,1,1
access_consol_admin,consolidation config admin,model_account_consolidation_config,group_consolidation_admin,1,1,1,1
access_consol_viewer,consolidation config viewer,model_account_consolidation_config,group_consolidation_viewer,1,0,0,0
access_consol_wiz,consolidation wizard,model_account_consolidation_report_wizard,group_consolidation_viewer,1,1,1,1
access_consolidation_chart_admin,consolidation chart admin,model_custom_consolidation_chart,group_consolidation_admin,1,1,1,1
access_consolidation_chart_viewer,consolidation chart viewer,model_custom_consolidation_chart,group_consolidation_viewer,1,0,0,0
access_consolidation_chart_account_admin,consolidation chart account admin,model_custom_consolidation_chart_account,group_consolidation_admin,1,1,1,1
access_consolidation_chart_account_viewer,consolidation chart account viewer,model_custom_consolidation_chart_account,group_consolidation_viewer,1,0,0,0
access_consolidation_mapping_admin,consolidation mapping admin,model_custom_consolidation_mapping,group_consolidation_admin,1,1,1,1
access_consolidation_mapping_viewer,consolidation mapping viewer,model_custom_consolidation_mapping,group_consolidation_viewer,1,0,0,0
access_elimination_rule_admin,elimination rule admin,model_custom_elimination_rule,group_consolidation_admin,1,1,1,1
access_elimination_rule_viewer,elimination rule viewer,model_custom_elimination_rule,group_consolidation_viewer,1,0,0,0
access_elimination_proposal_admin,elimination proposal admin,model_custom_elimination_proposal,group_consolidation_admin,1,1,1,1
access_elimination_proposal_viewer,elimination proposal viewer,model_custom_elimination_proposal,group_consolidation_viewer,1,0,0,0
access_elimination_proposal_line_admin,elimination proposal line admin,model_custom_elimination_proposal_line,group_consolidation_admin,1,1,1,1
access_elimination_proposal_line_viewer,elimination proposal line viewer,model_custom_elimination_proposal_line,group_consolidation_viewer,1,0,0,0
access_fiscal_year_admin,fiscal year admin,model_custom_fiscal_year,group_fiscal_year_admin,1,1,1,1
access_fiscal_year_acc_user,fiscal year accountant,model_custom_fiscal_year,account.group_account_user,1,0,0,0
access_fiscal_year_close_wiz,fiscal year close wizard,model_custom_fiscal_year_close_wizard,group_fiscal_year_admin,1,1,1,1
access_reconcile_rule_admin,reconcile rule admin,model_custom_reconcile_rule,group_reconcile_admin,1,1,1,1
access_reconcile_rule_user,reconcile rule user,model_custom_reconcile_rule,account.group_account_user,1,0,0,0
access_followup_level_admin,followup level admin,model_custom_followup_level,group_followup_admin,1,1,1,1
access_followup_level_user,followup level user,model_custom_followup_level,account.group_account_user,1,0,0,0
access_followup_stat_user,followup stat user,model_custom_followup_stat_by_partner,account.group_account_user,1,0,0,0
access_credit_check_log_admin,credit check log admin,model_custom_credit_check_log,group_credit_limit_admin,1,1,1,1
access_credit_check_log_user,credit check log user,model_custom_credit_check_log,account.group_account_user,1,0,0,0
access_match_policy_admin,match policy admin,model_custom_match_policy,group_match_admin,1,1,1,1
access_match_policy_user,match policy user,model_custom_match_policy,account.group_account_user,1,0,0,0
access_match_result_admin,match result admin,model_custom_match_result,group_match_admin,1,1,1,1
access_match_result_user,match result user,model_custom_match_result,account.group_account_user,1,0,0,0
access_match_line_result_admin,match line result admin,model_custom_match_line_result,group_match_admin,1,1,1,1
access_match_line_result_user,match line result user,model_custom_match_line_result,account.group_account_user,1,0,0,0
