id,section_id/id,sequence,target_section_id/id
sseq_bb1_1,ssec_bb1,10,ssec_bb1
sseq_bb1_2,ssec_bb1,20,ssec_ga2
sseq_bb1_3,ssec_bb1,30,ssec_gf1
sseq_bb1_4,ssec_bb1,40,ssec_go1
sseq_bb1_5,ssec_bb1,50,ssec_ls1
sseq_bb1_6,ssec_bb1,60,ssec_od1
sseq_bb1_7,ssec_bb1,70,ssec_ru1
sseq_bb1_8,ssec_bb1,80,ssec_sl1
sseq_bb1_9,ssec_bb1,90,ssec_ss1
sseq_bb1_10,ssec_bb1,100,ssec_tr1
sseq_gf1_1,ssec_gf1,10,ssec_gf1
sseq_gf1_2,ssec_gf1,20,ssec_ga2
sseq_gf1_3,ssec_gf1,30,ssec_go1
sseq_gf1_4,ssec_gf1,40,ssec_ls1
sseq_gf1_5,ssec_gf1,50,ssec_od1
sseq_gf1_6,ssec_gf1,60,ssec_ru1
sseq_gf1_7,ssec_gf1,70,ssec_sl1
sseq_gf1_8,ssec_gf1,80,ssec_ss1
sseq_gf1_9,ssec_gf1,90,ssec_tr1
sseq_gf1_10,ssec_gf1,100,ssec_bb1
sseq_go1_1,ssec_go1,10,ssec_go1
sseq_go1_2,ssec_go1,20,ssec_ga2
sseq_go1_3,ssec_go1,30,ssec_ls1
sseq_go1_4,ssec_go1,40,ssec_od1
sseq_go1_5,ssec_go1,50,ssec_ru1
sseq_go1_6,ssec_go1,60,ssec_sl1
sseq_go1_7,ssec_go1,70,ssec_ss1
sseq_go1_8,ssec_go1,80,ssec_tr1
sseq_go1_9,ssec_go1,90,ssec_bb1
sseq_go1_10,ssec_go1,100,ssec_gf1
sseq_ls1_1,ssec_ls1,10,ssec_ls1
sseq_ls1_2,ssec_ls1,20,ssec_ga2
sseq_ls1_3,ssec_ls1,30,ssec_od1
sseq_ls1_4,ssec_ls1,40,ssec_ru1
sseq_ls1_5,ssec_ls1,50,ssec_sl1
sseq_ls1_6,ssec_ls1,60,ssec_ss1
sseq_ls1_7,ssec_ls1,70,ssec_tr1
sseq_ls1_8,ssec_ls1,80,ssec_bb1
sseq_ls1_9,ssec_ls1,90,ssec_gf1
sseq_ls1_10,ssec_ls1,100,ssec_go1
sseq_od1_1,ssec_od1,10,ssec_od1
sseq_od1_2,ssec_od1,20,ssec_ga2
sseq_od1_3,ssec_od1,30,ssec_ru1
sseq_od1_4,ssec_od1,40,ssec_sl1
sseq_od1_5,ssec_od1,50,ssec_ss1
sseq_od1_6,ssec_od1,60,ssec_tr1
sseq_od1_7,ssec_od1,70,ssec_bb1
sseq_od1_8,ssec_od1,80,ssec_gf1
sseq_od1_9,ssec_od1,90,ssec_go1
sseq_od1_10,ssec_od1,100,ssec_ls1
sseq_ru1_1,ssec_ru1,10,ssec_ru1
sseq_ru1_2,ssec_ru1,20,ssec_ga2
sseq_ru1_3,ssec_ru1,30,ssec_sl1
sseq_ru1_4,ssec_ru1,40,ssec_ss1
sseq_ru1_5,ssec_ru1,50,ssec_tr1
sseq_ru1_6,ssec_ru1,60,ssec_bb1
sseq_ru1_7,ssec_ru1,70,ssec_gf1
sseq_ru1_8,ssec_ru1,80,ssec_go1
sseq_ru1_9,ssec_ru1,90,ssec_ls1
sseq_ru1_10,ssec_ru1,100,ssec_od1
sseq_sl1_1,ssec_sl1,10,ssec_sl1
sseq_sl1_2,ssec_sl1,20,ssec_ga2
sseq_sl1_3,ssec_sl1,30,ssec_ss1
sseq_sl1_4,ssec_sl1,40,ssec_tr1
sseq_sl1_5,ssec_sl1,50,ssec_bb1
sseq_sl1_6,ssec_sl1,60,ssec_gf1
sseq_sl1_7,ssec_sl1,70,ssec_go1
sseq_sl1_8,ssec_sl1,80,ssec_ls1
sseq_sl1_9,ssec_sl1,90,ssec_od1
sseq_sl1_10,ssec_sl1,100,ssec_ru1
sseq_ss1_1,ssec_ss1,10,ssec_ss1
sseq_ss1_2,ssec_ss1,20,ssec_ga2
sseq_ss1_3,ssec_ss1,30,ssec_tr1
sseq_ss1_4,ssec_ss1,40,ssec_bb1
sseq_ss1_5,ssec_ss1,50,ssec_gf1
sseq_ss1_6,ssec_ss1,60,ssec_go1
sseq_ss1_7,ssec_ss1,70,ssec_ls1
sseq_ss1_8,ssec_ss1,80,ssec_od1
sseq_ss1_9,ssec_ss1,90,ssec_ru1
sseq_ss1_10,ssec_ss1,100,ssec_sl1
sseq_tr1_1,ssec_tr1,10,ssec_tr1
sseq_tr1_2,ssec_tr1,20,ssec_ga2
sseq_tr1_3,ssec_tr1,30,ssec_bb1
sseq_tr1_4,ssec_tr1,40,ssec_gf1
sseq_tr1_5,ssec_tr1,50,ssec_go1
sseq_tr1_6,ssec_tr1,60,ssec_ls1
sseq_tr1_7,ssec_tr1,70,ssec_od1
sseq_tr1_8,ssec_tr1,80,ssec_ru1
sseq_tr1_9,ssec_tr1,90,ssec_sl1
sseq_tr1_10,ssec_tr1,100,ssec_ss1
sseq_ga2_1,ssec_ga2,10,ssec_ga2
