id,type_id/id,sequence,target_type_id/id
tseq_ac1_1,stype_ac1,10,stype_ac1
tseq_ac1_2,stype_ac1,20,stype_ac2
tseq_ac1_3,stype_ac1,30,stype_ap1
tseq_ac1_4,stype_ac1,40,stype_fo1
tseq_ac1_5,stype_ac1,50,stype_fl1
tseq_ac2_1,stype_ac2,10,stype_ac2
tseq_ac2_2,stype_ac2,20,stype_ap2
tseq_ac2_3,stype_ac2,30,stype_fo2
tseq_ac2_4,stype_ac2,40,stype_fl1
tseq_ap1_1,stype_ap1,10,stype_ap1
tseq_ap1_2,stype_ap1,20,stype_ap2
tseq_ap1_3,stype_ap1,30,stype_ac1
tseq_ap1_4,stype_ap1,40,stype_fo1
tseq_ap1_5,stype_ap1,50,stype_fl1
tseq_ap2_1,stype_ap2,10,stype_ap2
tseq_ap2_2,stype_ap2,20,stype_ac2
tseq_ap2_3,stype_ap2,30,stype_fo2
tseq_ap2_4,stype_ap2,40,stype_fl1
tseq_fo1_1,stype_fo1,10,stype_fo1
tseq_fo1_2,stype_fo1,20,stype_fo2
tseq_fo1_3,stype_fo1,30,stype_ac1
tseq_fo1_4,stype_fo1,40,stype_ap1
tseq_fo1_5,stype_fo1,50,stype_fl1
tseq_fo2_1,stype_fo2,10,stype_fo2
tseq_fo2_2,stype_fo2,20,stype_ac2
tseq_fo2_3,stype_fo2,30,stype_ap2
tseq_fo2_4,stype_fo2,40,stype_fl1
tseq_fl1_1,stype_fl1,10,stype_fl1
