"id","code_prefix_start","code_prefix_end","name"
"erajaya_group_1","1","1","Assets"
"erajaya_group_2","2","2","Liabilities"
"erajaya_group_3","3","3","Equity"
"erajaya_group_5","5","5","Net Sales"
"erajaya_group_6","6","6","Cost Of Goods Sold"
"erajaya_group_7","7","7","Operating Expenses"
"erajaya_group_8","8","8","Income Tax Benefit (Expense)"
"erajaya_group_11","11","11","Current Assets"
"erajaya_group_12","12","12","Non Current Assets"
"erajaya_group_21","21","21","Current Liabilities"
"erajaya_group_22","22","22","Non Current Liabilities"
"erajaya_group_51","51","51","Gross Sales"
"erajaya_group_52","52","52","Sales Discount"
"erajaya_group_53","53","53","Sales Return"
"erajaya_group_54","54","54","Sales Loyalitas Pelanggan"
"erajaya_group_61","61","61","Hpp Gross"
"erajaya_group_62","62","62","Rebate"
"erajaya_group_65","65","65","Inklaring, Inspection & Handling Fee"
"erajaya_group_66","66","66","Insurance"
"erajaya_group_69","69","69","Hpp Variance"
"erajaya_group_71","71","71","Selling And Distribution Expenses"
"erajaya_group_72","72","72","General And Administrative Expenses"
"erajaya_group_76","76","76","Other Operating Income"
"erajaya_group_77","77","77","Other Operating Expenses"
"erajaya_group_78","78","78","Finance Income"
"erajaya_group_79","79","79","Finance Costs"
"erajaya_group_81","81","81","Current"
"erajaya_group_82","82","82","Deferred"
"erajaya_group_83","83","83","Other Comprehensive Income"
