"id","active","description","is_base_affected","invoice_label","type_tax_use","tax_group_id","name","amount_type","amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/document_type","repartition_line_ids/account_id"
"erajaya_tax_pph_23_sewa_peralatan_2_potong_purchase","","<div>PPh 23 2%</div>","","","purchase","erajaya_tg_pph_23","PPh 23 Sewa Peralatan 2% (Potong)","percent","-2.0","base","","","invoice",""
"","","","","","","","","","","tax","","","invoice","erajaya_2104100005"
"","","","","","","","","","","base","","","refund",""
"","","","","","","","","","","tax","","","refund","erajaya_2104100005"
"erajaya_tax_pph_22_impor_2_5_api_purchase","","<div>PPh 22 Impor 2.5%</div>","","","purchase","erajaya_tg_pph_22_impor","PPh 22 Impor 2.5% (API)","percent","-2.5","base","","","invoice",""
"","","","","","","","","","","tax","","","invoice","erajaya_2104100004"
"","","","","","","","","","","base","","","refund",""
"","","","","","","","","","","tax","","","refund","erajaya_2104100004"
"erajaya_tax_12_non_luxury_good_purchase","","<div>Standard Rate for Non-Luxury Goods &amp; Services</div>","","12%","purchase","erajaya_tg_non_luxury_good_taxes","12% (Non-Luxury Good)","percent","11.0","base","","","invoice",""
"","","","","","","","","","","tax","","","invoice","erajaya_1117200001"
"","","","","","","","","","","base","","","refund",""
"","","","","","","","","","","tax","","","refund","erajaya_1117200001"
"erajaya_tax_12_purchase","","<div>Standard Rate for Luxury Goods &amp; Services</div>","","12%","purchase","erajaya_tg_luxury_good_taxes","12%","percent","12.0","base","","","invoice",""
"","","","","","","","","","","tax","","","invoice","erajaya_1117200001"
"","","","","","","","","","","base","","","refund",""
"","","","","","","","","","","tax","","","refund","erajaya_1117200001"
"erajaya_tax_0_purchase","","<div>Zero-Rated</div>","","0%","purchase","erajaya_tg_zero_rated_taxes","0%","percent","0.0","base","","","invoice",""
"","","","","","","","","","","tax","","","invoice","erajaya_1117200001"
"","","","","","","","","","","base","","","refund",""
"","","","","","","","","","","tax","","","refund","erajaya_1117200001"
"erajaya_tax_0_exempt_purchase","","<div>Exempt</div>","","0%","purchase","erajaya_tg_tax_exempted","0% EXEMPT","percent","0.0","base","","","invoice",""
"","","","","","","","","","","tax","","","invoice","erajaya_1117200001"
"","","","","","","","","","","base","","","refund",""
"","","","","","","","","","","tax","","","refund","erajaya_1117200001"
"erajaya_tax_20_stlg_purchase","","<div>Sales Tax on Luxury Goods (STLG)</div>","False","20%","purchase","erajaya_tg_sltg","20% (STLG)","percent","20.0","base","","","invoice",""
