id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_eraspace_txn_user,eraspace txn user,model_custom_ppob_eraspace_txn,custom_ppob_core.group_ppob_user,1,0,0,0
access_eraspace_txn_ops,eraspace txn ops,model_custom_ppob_eraspace_txn,custom_ppob_core.group_ppob_ops,1,1,0,0
access_eraspace_txn_manager,eraspace txn manager,model_custom_ppob_eraspace_txn,custom_ppob_core.group_ppob_manager,1,1,1,1
access_eraspace_connection_user,eraspace connection user,model_custom_ppob_eraspace_connection,custom_ppob_core.group_ppob_user,1,0,0,0
access_eraspace_connection_manager,eraspace connection manager,model_custom_ppob_eraspace_connection,custom_ppob_core.group_ppob_manager,1,1,1,1
access_eraspace_settlement_user,eraspace settlement user,model_custom_ppob_eraspace_settlement,custom_ppob_core.group_ppob_user,1,0,0,0
access_eraspace_settlement_ops,eraspace settlement ops,model_custom_ppob_eraspace_settlement,custom_ppob_core.group_ppob_ops,1,1,1,0
access_eraspace_settlement_manager,eraspace settlement manager,model_custom_ppob_eraspace_settlement,custom_ppob_core.group_ppob_manager,1,1,1,1
access_eraspace_ingest_skipped_user,eraspace ingest skipped user,model_custom_ppob_eraspace_ingest_skipped,custom_ppob_core.group_ppob_user,1,0,0,0
access_eraspace_ingest_skipped_ops,eraspace ingest skipped ops,model_custom_ppob_eraspace_ingest_skipped,custom_ppob_core.group_ppob_ops,1,1,0,0
access_eraspace_ingest_skipped_manager,eraspace ingest skipped manager,model_custom_ppob_eraspace_ingest_skipped,custom_ppob_core.group_ppob_manager,1,1,1,1
access_eraspace_backfill_wizard,eraspace backfill wizard,model_custom_ppob_eraspace_backfill_wizard,custom_ppob_core.group_ppob_manager,1,1,1,1
