textbox2,textbox3,textbox4,Textbox16,Textbox18,textbox5,Textbox15,textbox6,textbox7,textbox8,textbox9,textbox10,textbox11,Textbox17,Textbox30,STORE_CODE,SAP_STORE_CODE,STORE_NAME,ITEM_ID,WAIST,INSEAM,ITEM_DESCRIPTION,EAN,BRAND,CATEGORY,CLASS,SUBCLASS,BIN,ONHAND_QTY
STORE CODE,STORE NAME,ITEM ID,WAIST,INSEAM,ITEM DESCRIPTION,EAN,BRAND,CATEGORY,CLASS,SUBCLASS,BIN,ONHAND QTY,Total For Store:  14694,"25,300",14694,20069514,OLS SCU - TUNJUNGAN PLAZA 3,002GW00000,OS,-,HERITAGE RUCKSACK INDIGO RINSE 2,,LEVIS,MENS ACCESSORIES,BAGS,BACKPACK,EXT_STORAGE,1
STORE CODE,STORE NAME,ITEM ID,WAIST,INSEAM,ITEM DESCRIPTION,EAN,BRAND,CATEGORY,CLASS,SUBCLASS,BIN,ONHAND QTY,Total For Store:  14694,"25,300",14694,20069514,OLS SCU - TUNJUNGAN PLAZA 3,D544000020,OS,-,THE LEVI'S� BACK POCKET TOTE INDIGO RINS,,LEVIS,MENS ACCESSORIES,BAGS,TOTE,EXT_STORAGE,1
STORE CODE,STORE NAME,ITEM ID,WAIST,INSEAM,ITEM DESCRIPTION,EAN,BRAND,CATEGORY,CLASS,SUBCLASS,BIN,ONHAND QTY,Total For Store:  14694,"25,300",14694,20069514,OLS SCU - TUNJUNGAN PLAZA 3,004RR00670,L,-,LEVIS MEN SOLID BASIC BOX,,LEVIS,MENS ACCESSORIES,UNDERWEAR,BOTTOMS,EXT_STORAGE,1
STORE CODE,STORE NAME,ITEM ID,WAIST,INSEAM,ITEM DESCRIPTION,EAN,BRAND,CATEGORY,CLASS,SUBCLASS,BIN,ONHAND QTY,Total For Store:  14694,"25,300",14694,20069514,OLS SCU - TUNJUNGAN PLAZA 3,004RR00670,XL,-,LEVIS MEN SOLID BASIC BOX,,LEVIS,MENS ACCESSORIES,UNDERWEAR,BOTTOMS,EXT_STORAGE,8
STORE CODE,STORE NAME,ITEM ID,WAIST,INSEAM,ITEM DESCRIPTION,EAN,BRAND,CATEGORY,CLASS,SUBCLASS,BIN,ONHAND QTY,Total For Store:  14694,"25,300",14694,20069514,OLS SCU - TUNJUNGAN PLAZA 3,004RR00680,L,-,LEVIS MEN SOLID BASIC BOX,,LEVIS,MENS ACCESSORIES,UNDERWEAR,BOTTOMS,EXT_STORAGE,2
STORE CODE,STORE NAME,ITEM ID,WAIST,INSEAM,ITEM DESCRIPTION,EAN,BRAND,CATEGORY,CLASS,SUBCLASS,BIN,ONHAND QTY,Total For Store:  14694,"25,300",14694,20069514,OLS SCU - TUNJUNGAN PLAZA 3,004RR00680,M,-,LEVIS MEN SOLID BASIC BOX,,LEVIS,MENS ACCESSORIES,UNDERWEAR,BOTTOMS,EXT_STORAGE,3
STORE CODE,STORE NAME,ITEM ID,WAIST,INSEAM,ITEM DESCRIPTION,EAN,BRAND,CATEGORY,CLASS,SUBCLASS,BIN,ONHAND QTY,Total For Store:  14694,"25,300",14694,20069514,OLS SCU - TUNJUNGAN PLAZA 3,004RR00680,XL,-,LEVIS MEN SOLID BASIC BOX,,LEVIS,MENS ACCESSORIES,UNDERWEAR,BOTTOMS,EXT_STORAGE,4
STORE CODE,STORE NAME,ITEM ID,WAIST,INSEAM,ITEM DESCRIPTION,EAN,BRAND,CATEGORY,CLASS,SUBCLASS,BIN,ONHAND QTY,Total For Store:  14694,"25,300",14694,20069514,OLS SCU - TUNJUNGAN PLAZA 3,004RR00710,L,-,LEVIS MEN SOLID BASIC BOX,,LEVIS,MENS ACCESSORIES,UNDERWEAR,BOTTOMS,EXT_STORAGE,6
STORE CODE,STORE NAME,ITEM ID,WAIST,INSEAM,ITEM DESCRIPTION,EAN,BRAND,CATEGORY,CLASS,SUBCLASS,BIN,ONHAND QTY,Total For Store:  14694,"25,300",14694,20069514,OLS SCU - TUNJUNGAN PLAZA 3,004RR00710,M,-,LEVIS MEN SOLID BASIC BOX,,LEVIS,MENS ACCESSORIES,UNDERWEAR,BOTTOMS,EXT_STORAGE,9
STORE CODE,STORE NAME,ITEM ID,WAIST,INSEAM,ITEM DESCRIPTION,EAN,BRAND,CATEGORY,CLASS,SUBCLASS,BIN,ONHAND QTY,Total For Store:  14694,"25,300",14694,20069514,OLS SCU - TUNJUNGAN PLAZA 3,004RR00710,XL,-,LEVIS MEN SOLID BASIC BOX,,LEVIS,MENS ACCESSORIES,UNDERWEAR,BOTTOMS,EXT_STORAGE,4
