xid,name,parent_xid
cat_l1_MENS_ACCESSORIES,MENS ACCESSORIES,
cat_l1_MENS_BOTTOMS,MENS BOTTOMS,
cat_l1_MENS_FOOTWEAR,MENS FOOTWEAR,
cat_l1_MENS_TOPS,MENS TOPS,
cat_l1_WOMENS_ACCESSORIES,WOMENS ACCESSORIES,
cat_l1_WOMENS_BOTTOMS,WOMENS BOTTOMS,
cat_l1_WOMENS_TOPS,WOMENS TOPS,
cat_l2_MENS_ACCESSORIES_BAGS,BAGS,cat_l1_MENS_ACCESSORIES
cat_l2_MENS_ACCESSORIES_BELTS,BELTS,cat_l1_MENS_ACCESSORIES
cat_l2_MENS_ACCESSORIES_HEADGEAR,HEADGEAR,cat_l1_MENS_ACCESSORIES
cat_l2_MENS_ACCESSORIES_SCARVES_OR_NECKWEAR,SCARVES OR NECKWEAR,cat_l1_MENS_ACCESSORIES
cat_l2_MENS_ACCESSORIES_SOCKS,SOCKS,cat_l1_MENS_ACCESSORIES
cat_l2_MENS_ACCESSORIES_TRINKETS,TRINKETS,cat_l1_MENS_ACCESSORIES
cat_l2_MENS_ACCESSORIES_UNDERWEAR,UNDERWEAR,cat_l1_MENS_ACCESSORIES
cat_l2_MENS_ACCESSORIES_WALLETS,WALLETS,cat_l1_MENS_ACCESSORIES
cat_l2_MENS_BOTTOMS_ALTERNATIVE_LENGTHS,ALTERNATIVE LENGTHS,cat_l1_MENS_BOTTOMS
cat_l2_MENS_BOTTOMS_JEANS,JEANS,cat_l1_MENS_BOTTOMS
cat_l2_MENS_BOTTOMS_KHAKIS,KHAKIS,cat_l1_MENS_BOTTOMS
cat_l2_MENS_BOTTOMS_OTHER_PANTS,OTHER PANTS,cat_l1_MENS_BOTTOMS
cat_l2_MENS_BOTTOMS_SHORTS,SHORTS,cat_l1_MENS_BOTTOMS
cat_l2_MENS_FOOTWEAR_BOOTS,BOOTS,cat_l1_MENS_FOOTWEAR
cat_l2_MENS_FOOTWEAR_SANDALS,SANDALS,cat_l1_MENS_FOOTWEAR
cat_l2_MENS_FOOTWEAR_SHOES,SHOES,cat_l1_MENS_FOOTWEAR
cat_l2_MENS_FOOTWEAR_SNEAKERS,SNEAKERS,cat_l1_MENS_FOOTWEAR
cat_l2_MENS_TOPS_OUTERWEAR,OUTERWEAR,cat_l1_MENS_TOPS
cat_l2_MENS_TOPS_POLOS,POLOS,cat_l1_MENS_TOPS
cat_l2_MENS_TOPS_SWEATERS,SWEATERS,cat_l1_MENS_TOPS
cat_l2_MENS_TOPS_SWEATSHIRTS,SWEATSHIRTS,cat_l1_MENS_TOPS
cat_l2_MENS_TOPS_TEES,TEES,cat_l1_MENS_TOPS
cat_l2_MENS_TOPS_TRUCKERS,TRUCKERS,cat_l1_MENS_TOPS
cat_l2_MENS_TOPS_WOVEN_TOPS,WOVEN TOPS,cat_l1_MENS_TOPS
cat_l2_WOMENS_ACCESSORIES_BAGS,BAGS,cat_l1_WOMENS_ACCESSORIES
cat_l2_WOMENS_ACCESSORIES_BELTS,BELTS,cat_l1_WOMENS_ACCESSORIES
cat_l2_WOMENS_ACCESSORIES_HEADGEAR,HEADGEAR,cat_l1_WOMENS_ACCESSORIES
cat_l2_WOMENS_ACCESSORIES_SCARVES_OR_NECKWEAR,SCARVES OR NECKWEAR,cat_l1_WOMENS_ACCESSORIES
cat_l2_WOMENS_ACCESSORIES_TRINKETS,TRINKETS,cat_l1_WOMENS_ACCESSORIES
cat_l2_WOMENS_ACCESSORIES_WALLETS,WALLETS,cat_l1_WOMENS_ACCESSORIES
cat_l2_WOMENS_BOTTOMS_ALTERNATIVE_LENGTHS,ALTERNATIVE LENGTHS,cat_l1_WOMENS_BOTTOMS
cat_l2_WOMENS_BOTTOMS_BODYWEAR_BOTTOMS,BODYWEAR BOTTOMS,cat_l1_WOMENS_BOTTOMS
cat_l2_WOMENS_BOTTOMS_JEANS,JEANS,cat_l1_WOMENS_BOTTOMS
cat_l2_WOMENS_BOTTOMS_KHAKIS,KHAKIS,cat_l1_WOMENS_BOTTOMS
cat_l2_WOMENS_BOTTOMS_OTHER_PANTS,OTHER PANTS,cat_l1_WOMENS_BOTTOMS
cat_l2_WOMENS_BOTTOMS_SHORTS,SHORTS,cat_l1_WOMENS_BOTTOMS
cat_l2_WOMENS_BOTTOMS_SKIRTS,SKIRTS,cat_l1_WOMENS_BOTTOMS
cat_l2_WOMENS_TOPS_DRESSES,DRESSES,cat_l1_WOMENS_TOPS
cat_l2_WOMENS_TOPS_OUTERWEAR,OUTERWEAR,cat_l1_WOMENS_TOPS
cat_l2_WOMENS_TOPS_POLOS,POLOS,cat_l1_WOMENS_TOPS
cat_l2_WOMENS_TOPS_SWEATERS,SWEATERS,cat_l1_WOMENS_TOPS
cat_l2_WOMENS_TOPS_SWEATSHIRTS,SWEATSHIRTS,cat_l1_WOMENS_TOPS
cat_l2_WOMENS_TOPS_TEES,TEES,cat_l1_WOMENS_TOPS
cat_l2_WOMENS_TOPS_TRUCKERS,TRUCKERS,cat_l1_WOMENS_TOPS
cat_l2_WOMENS_TOPS_WOVEN_TOPS,WOVEN TOPS,cat_l1_WOMENS_TOPS
cat_l3_MENS_ACCESSORIES_BAGS_BACKPACK,BACKPACK,cat_l2_MENS_ACCESSORIES_BAGS
cat_l3_MENS_ACCESSORIES_BAGS_CROSSBODY,CROSSBODY,cat_l2_MENS_ACCESSORIES_BAGS
cat_l3_MENS_ACCESSORIES_BAGS_DUFFLE,DUFFLE,cat_l2_MENS_ACCESSORIES_BAGS
cat_l3_MENS_ACCESSORIES_BAGS_HANDBAG,HANDBAG,cat_l2_MENS_ACCESSORIES_BAGS
cat_l3_MENS_ACCESSORIES_BAGS_MESSENGER,MESSENGER,cat_l2_MENS_ACCESSORIES_BAGS
cat_l3_MENS_ACCESSORIES_BAGS_TOTE,TOTE,cat_l2_MENS_ACCESSORIES_BAGS
cat_l3_MENS_ACCESSORIES_BELTS_NORMAL_BUC,NORMAL BUC,cat_l2_MENS_ACCESSORIES_BELTS
cat_l3_MENS_ACCESSORIES_BELTS_NORMAL_PLA,NORMAL PLA,cat_l2_MENS_ACCESSORIES_BELTS
cat_l3_MENS_ACCESSORIES_BELTS_REVERSIBLE,REVERSIBLE,cat_l2_MENS_ACCESSORIES_BELTS
cat_l3_MENS_ACCESSORIES_BELTS_WEBBING,WEBBING,cat_l2_MENS_ACCESSORIES_BELTS
cat_l3_MENS_ACCESSORIES_HEADGEAR_BEANIES,BEANIES,cat_l2_MENS_ACCESSORIES_HEADGEAR
cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS,CAPS,cat_l2_MENS_ACCESSORIES_HEADGEAR
cat_l3_MENS_ACCESSORIES_HEADGEAR_HATS,HATS,cat_l2_MENS_ACCESSORIES_HEADGEAR
cat_l3_MENS_ACCESSORIES_SCARVES_OR_NECKWEAR_BANDANAS,BANDANAS,cat_l2_MENS_ACCESSORIES_SCARVES_OR_NECKWEAR
cat_l3_MENS_ACCESSORIES_SCARVES_OR_NECKWEAR_KNIT,KNIT,cat_l2_MENS_ACCESSORIES_SCARVES_OR_NECKWEAR
cat_l3_MENS_ACCESSORIES_SCARVES_OR_NECKWEAR_WOVEN,WOVEN,cat_l2_MENS_ACCESSORIES_SCARVES_OR_NECKWEAR
cat_l3_MENS_ACCESSORIES_SOCKS_LOW_CUT,LOW CUT,cat_l2_MENS_ACCESSORIES_SOCKS
cat_l3_MENS_ACCESSORIES_SOCKS_SOCKS,SOCKS,cat_l2_MENS_ACCESSORIES_SOCKS
cat_l3_MENS_ACCESSORIES_TRINKETS_POUCH,POUCH,cat_l2_MENS_ACCESSORIES_TRINKETS
cat_l3_MENS_ACCESSORIES_TRINKETS_TRINKETS,TRINKETS,cat_l2_MENS_ACCESSORIES_TRINKETS
cat_l3_MENS_ACCESSORIES_UNDERWEAR_BOTTOMS,BOTTOMS,cat_l2_MENS_ACCESSORIES_UNDERWEAR
cat_l3_MENS_ACCESSORIES_UNDERWEAR_TOPS,TOPS,cat_l2_MENS_ACCESSORIES_UNDERWEAR
cat_l3_MENS_ACCESSORIES_WALLETS_BIFOLD,BIFOLD,cat_l2_MENS_ACCESSORIES_WALLETS
cat_l3_MENS_ACCESSORIES_WALLETS_CARD_CASE,CARD CASE,cat_l2_MENS_ACCESSORIES_WALLETS
cat_l3_MENS_ACCESSORIES_WALLETS_POUCH,POUCH,cat_l2_MENS_ACCESSORIES_WALLETS
