tmpl_xid,attribute,value
tmpl_0002E_0031,Size,L
tmpl_0002E_0031,Size,M
tmpl_0002E_0031,Size,S
tmpl_0002E_0031,Size,XL
tmpl_0002L_0002,Size,L
tmpl_0002L_0002,Size,M
tmpl_0002L_0002,Size,S
tmpl_0002L_0002,Size,XL
tmpl_0002L_0002,Size,XS
tmpl_0002L_0006,Size,L
tmpl_0002L_0006,Size,M
tmpl_0002L_0006,Size,S
tmpl_0002L_0006,Size,XS
tmpl_0002Q_0000,Size,24
tmpl_0002Q_0000,Size,25
tmpl_0002Q_0000,Size,26
tmpl_0002Q_0000,Size,27
tmpl_0002Q_0000,Size,28
tmpl_0002Q_0000,Size,29
tmpl_0002Q_0000,Size,30
tmpl_0002Q_0000,Size,31
tmpl_0002Q_0000,Size,32
tmpl_0002Q_0000,Size,34
tmpl_0002R_0000,Size,23
tmpl_0002R_0000,Size,24
tmpl_0002R_0000,Size,25
tmpl_0002R_0000,Size,26
tmpl_0002R_0000,Size,27
tmpl_0002R_0000,Size,28
tmpl_0002R_0000,Size,29
tmpl_0002R_0000,Size,30
tmpl_0002R_0000,Size,32
tmpl_0002R_0000,Size,34
tmpl_0002S_0001,Size,L
tmpl_0002S_0001,Size,M
tmpl_0002S_0001,Size,S
tmpl_0002S_0001,Size,XL
tmpl_0002S_0001,Size,XS
tmpl_0005S_0000,Size,23
tmpl_0005S_0000,Size,24
tmpl_0005S_0000,Size,25
tmpl_0005S_0000,Size,26
tmpl_0005S_0000,Size,27
tmpl_0005S_0000,Size,28
tmpl_0005S_0000,Size,29
tmpl_0005S_0000,Size,30
tmpl_0005S_0000,Size,31
tmpl_0005S_0000,Size,32
tmpl_0005S_0000,Size,33
tmpl_0005S_0000,Size,34
tmpl_000A4_0002,Size,100
tmpl_000A4_0002,Size,70
tmpl_000A4_0002,Size,75
tmpl_000A4_0002,Size,80
tmpl_000A4_0002,Size,85
tmpl_000A4_0002,Size,90
tmpl_000A4_0002,Size,95
tmpl_000A5_0000,Size,OS
tmpl_000A5_0001,Size,OS
tmpl_000A9_0000,Size,OS
tmpl_000A9_0001,Size,OS
tmpl_000A9_0002,Size,OS
tmpl_000A9_0003,Size,OS
tmpl_000A9_0004,Size,OS
tmpl_000A9_0005,Size,OS
tmpl_000A9_0006,Size,OS
tmpl_000A9_0008,Size,OS
tmpl_000A9_0010,Size,OS
tmpl_000A9_0012,Size,OS
tmpl_000A9_0014,Size,OS
tmpl_000A9_0018,Size,OS
tmpl_000A9_0022,Size,OS
tmpl_000A9_0024,Size,OS
tmpl_000A9_0025,Size,OS
tmpl_000A9_0026,Size,OS
tmpl_000A9_0029,Size,OS
tmpl_000A9_0030,Size,OS
tmpl_000A9_0031,Size,OS
tmpl_000A9_0032,Size,OS
tmpl_000AA_0001,Size,OS
tmpl_000AA_0002,Size,OS
tmpl_000AE_0001,Size,L
tmpl_000AE_0001,Size,M
tmpl_000AE_0001,Size,S
tmpl_000AE_0003,Size,L
tmpl_000AE_0003,Size,M
tmpl_000AE_0003,Size,S
tmpl_000AG_0000,Size,OS
tmpl_000AG_0001,Size,OS
tmpl_000AG_0002,Size,OS
tmpl_000AG_0003,Size,OS
tmpl_000AG_0005,Size,OS
tmpl_000AG_0008,Size,OS
tmpl_000AG_0011,Size,OS
tmpl_000AG_0013,Size,OS
tmpl_000AG_0017,Size,OS
tmpl_000AG_0019,Size,OS
tmpl_000AG_0034,Size,OS
tmpl_000EX_0000,Size,L
tmpl_000EX_0000,Size,M
tmpl_000EX_0000,Size,S
tmpl_000EX_0000,Size,XL
tmpl_000EX_0000,Size,XS
tmpl_000EX_0002,Size,L
tmpl_000EX_0002,Size,M
tmpl_000EX_0002,Size,S
tmpl_000EX_0002,Size,XL
tmpl_000EX_0002,Size,XS
tmpl_000EX_0003,Size,L
tmpl_000EX_0003,Size,M
tmpl_000EX_0003,Size,S
tmpl_000EX_0003,Size,XL
tmpl_000EX_0003,Size,XS
tmpl_000EY_0000,Size,L
tmpl_000EY_0000,Size,M
tmpl_000EY_0000,Size,S
tmpl_000EY_0000,Size,XL
tmpl_000EY_0000,Size,XS
tmpl_000EY_0001,Size,L
tmpl_000EY_0001,Size,M
tmpl_000EY_0001,Size,S
tmpl_000EY_0001,Size,XL
tmpl_000EY_0001,Size,XS
tmpl_000EZ_0000,Size,L
tmpl_000EZ_0000,Size,M
tmpl_000EZ_0000,Size,S
tmpl_000EZ_0000,Size,XL
tmpl_000EZ_0000,Size,XS
