store_name,store_code,sap_store_code,is_dc,code_known
DC - SANGGAR CATUR UTAMA WAREHOUSE,,,yes,no
OLS AEON BSD City,,,no,no
OLS CENTRAL PARK,,,no,no
OLS Grand Metropolitan Bekasi,,,no,no
OLS Lotte Shopping Avenue,,,no,no
OLS PARIS VAN JAVA,,,no,no
OLS SCU - BANDUNG INDAH PLAZA,,,no,no
OLS SCU - Galaxy Mall 3 Surabaya,,,no,no
OLS SCU - Gandaria City Mall,,,no,no
OLS SCU - GRAND INDONESIA,,,no,no
OLS SCU - KELAPA GADING MALL,,,no,no
OLS SCU - Mall of Indonesia,,,no,no
OLS SCU - Metropolitan Mall Bekasi,,,no,no
OLS SCU - Pacific Place Mall,,,no,no
OLS SCU - Pakuwon Mall Surabaya,,,no,no
OLS SCU - PASKAL BANDUNG,,,no,no
OLS SCU - Plaza Senayan,,,no,no
OLS SCU - PONDOK INDAH MALL 1,,,no,no
OLS SCU - PONDOK INDAH MALL 2,,,no,no
OLS SCU - SENAYAN CITY,,,no,no
OLS SCU - Summarecon Mall Bandung,,,no,no
OLS SCU - Trans Studio Cibubur,,,no,no
OLS SCU - Trans Studio Mall Bandung,,,no,no
OLS SCU - TUNJUNGAN PLAZA,14694,0020069514,no,yes
