tmpl_xid,default_code,name,list_price,categ_xid
tmpl_0002E_0031,0002E-0031,CLASSIC HM SWEATER MARL KAMBABA / JET BL,749900.00,cat_l3_MENS_TOPS_SWEATERS_SWEATERS
tmpl_0002L_0002,0002L-0002,GR HERITAGE SPORT CREW CREW REGATTA FLAG,799900.00,cat_l3_WOMENS_TOPS_SWEATSHIRTS_GRAPHIC_SW
tmpl_0002L_0006,0002L-0006,GR HERITAGE SPORT CREW CREW WELL WORN LE,799900.00,cat_l3_WOMENS_TOPS_SWEATSHIRTS_GRAPHIC_SW
tmpl_0002Q_0000,0002Q-0000,WESTERN DENIM MIDI DRESS FEELING THIS,999900.00,cat_l3_WOMENS_TOPS_DRESSES_DRESSES
tmpl_0002R_0000,0002R-0000,DNM VEST WIDELG JUMPSUIT DIVE DEEP,999900.00,cat_l3_WOMENS_TOPS_DRESSES_ROMPERS
tmpl_0002S_0001,0002S-0001,DENIM BUSTIER DRESS CAN WE PRETEND,899900.00,cat_l3_WOMENS_TOPS_DRESSES_DRESSES
tmpl_0005S_0000,0005S-0000,ANKLE COLUMN CARGO SKIRT MAXIMIZE THE MO,699900.00,cat_l3_WOMENS_BOTTOMS_SKIRTS_SKIRTS
tmpl_000A4_0002,000A4-0002,WOMEN'S CHARLIE BRAID BELT LEATHER BROWN,399900.00,cat_l3_WOMENS_ACCESSORIES_BELTS_NORMAL_BUC
tmpl_000A5_0000,000A5-0000,L-PACK ROLL-TOP CAVIAR,699900.00,cat_l3_MENS_ACCESSORIES_BAGS_BACKPACK
tmpl_000A5_0001,000A5-0001,L-PACK ROLL-TOP ERMINE,699900.00,cat_l3_MENS_ACCESSORIES_BAGS_BACKPACK
tmpl_000A9_0000,000A9-0000,RELAXED DAD HERITAGE CAP CAVIAR,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0001,000A9-0001,RELAXED DAD HERITAGE CAP AQUIFER,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0002,000A9-0002,RELAXED DAD HERITAGE CAP,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0003,000A9-0003,RELAXED DAD HERITAGE CAP ERMINE,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0004,000A9-0004,RELAXED DAD HERITAGE CAP CASTLE ROCK,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0005,000A9-0005,RELAXED DAD HERITAGE CAP INDIGO RINSE 2,399900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0006,000A9-0006,RELAXED DAD HERITAGE CAP FOGGY TOWN,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0008,000A9-0008,RELAXED DAD HERITAGE CAP INDIGO LIGHT WA,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0010,000A9-0010,RELAXED DAD HERITAGE CAP RAIN DRUM,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0012,000A9-0012,RELAXED DAD HERITAGE CAP BLACK RINSE 2,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0014,000A9-0014,RELAXED DAD HERITAGE CAP ECRU,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0018,000A9-0018,RELAXED DAD HERITAGE CAP MERLOT,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0022,000A9-0022,RELAXED DAD HERITAGE CAP FUNGI,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0024,000A9-0024,RELAXED DAD HERITAGE CAP LIGHT HEATHER G,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0025,000A9-0025,RELAXED DAD HERITAGE CAP DUFFLE BAG,349900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0026,000A9-0026,RELAXED DAD HERITAGE CAP PHALAROPE CAMO,399900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0029,000A9-0029,RELAXED DAD HERITAGE CAP BELOW THE MOON,399900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0030,000A9-0030,RELAXED DAD HERITAGE CAP GOLDEN KHAKI,399900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0031,000A9-0031,RELAXED DAD HERITAGE CAP NAVY BLAZER,399900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000A9_0032,000A9-0032,RELAXED DAD HERITAGE CAP PUMICE STONE,399900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000AA_0001,000AA-0001,WOMEN'S TWO HORSE TOTE-ALL XL ECRU,599900.00,cat_l3_WOMENS_ACCESSORIES_BAGS_TOTE
tmpl_000AA_0002,000AA-0002,WOMEN'S TWO HORSE TOTE-ALL XL INDIGO RIN,599900.00,cat_l3_WOMENS_ACCESSORIES_BAGS_TOTE
tmpl_000AE_0001,000AE-0001,HEADLINE BUCKET HAT OV,399900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_HATS
tmpl_000AE_0003,000AE-0003,HEADLINE BUCKET HAT OV,399900.00,cat_l3_MENS_ACCESSORIES_HEADGEAR_HATS
tmpl_000AG_0000,000AG-0000,LAZY GIRL LOGO CAP PIRATE BLACK,349900.00,cat_l3_WOMENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000AG_0001,000AG-0001,LAZY GIRL LOGO CAP FIESTA,349900.00,cat_l3_WOMENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000AG_0002,000AG-0002,LAZY GIRL LOGO CAP WHITE SWAN TWILL,349900.00,cat_l3_WOMENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000AG_0003,000AG-0003,LAZY GIRL LOGO CAP INDIGO RINSE 2,349900.00,cat_l3_WOMENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000AG_0005,000AG-0005,LAZY GIRL LOGO CAP INDIGO LIGHT WASH 9,349900.00,cat_l3_WOMENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000AG_0008,000AG-0008,LAZY GIRL LOGO CAP ON THE ROAD AGAIN HAT,349900.00,cat_l3_WOMENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000AG_0011,000AG-0011,LAZY GIRL LOGO CAP DOWNTOWN BROWN,349900.00,cat_l3_WOMENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000AG_0013,000AG-0013,LAZY GIRL LOGO CAP DUSTY PINK,349900.00,cat_l3_WOMENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000AG_0017,000AG-0017,LAZY GIRL LOGO CAP MURIEL LEOPARD PINECO,349900.00,cat_l3_WOMENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000AG_0019,000AG-0019,LAZY GIRL LOGO CAP SALT MINE,349900.00,cat_l3_WOMENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000AG_0034,000AG-0034,LAZY GIRL LOGO CAP CHATEAU GRAY TWILL,349900.00,cat_l3_WOMENS_ACCESSORIES_HEADGEAR_CAPS
tmpl_000EX_0000,000EX-0000,LAURA BLOUSE CAVIAR,649900.00,cat_l3_WOMENS_TOPS_WOVEN_TOPS_WOVEN_BLOU
