sku,tmpl_xid,size,inseam,gtin
0002E00310L,tmpl_0002E_0031,L,,5401221391864
0002E00310M,tmpl_0002E_0031,M,,5401221391871
0002E00310S,tmpl_0002E_0031,S,,5401221391888
0002E00310XL,tmpl_0002E_0031,XL,,5401221399792
0002L00020L,tmpl_0002L_0002,L,,4550608951991
0002L00020M,tmpl_0002L_0002,M,,4550608952004
0002L00020S,tmpl_0002L_0002,S,,5401180378333
0002L00020XL,tmpl_0002L_0002,XL,,4550608952011
0002L00020XS,tmpl_0002L_0002,XS,,4550608952028
0002L00060L,tmpl_0002L_0006,L,,5401221078826
0002L00060M,tmpl_0002L_0006,M,,5401221078833
0002L00060S,tmpl_0002L_0006,S,,4550609534469
0002L00060XS,tmpl_0002L_0006,XS,,4550609534476
0002Q0000024,tmpl_0002Q_0000,24,,4550608490469
0002Q0000025,tmpl_0002Q_0000,25,,4550608490476
0002Q0000026,tmpl_0002Q_0000,26,,5401180038596
0002Q0000027,tmpl_0002Q_0000,27,,5401132903699
0002Q0000028,tmpl_0002Q_0000,28,,4550608490506
0002Q0000029,tmpl_0002Q_0000,29,,5401180107971
0002Q0000030,tmpl_0002Q_0000,30,,4550608490520
0002Q0000031,tmpl_0002Q_0000,31,,5401180121694
0002Q0000032,tmpl_0002Q_0000,32,,5401180038626
0002Q0000034,tmpl_0002Q_0000,34,,5401180038633
0002R0000023,tmpl_0002R_0000,23,,4550608651105
0002R0000024,tmpl_0002R_0000,24,,5401180107988
0002R0000025,tmpl_0002R_0000,25,,4550608651129
0002R0000026,tmpl_0002R_0000,26,,4550608651136
0002R0000027,tmpl_0002R_0000,27,,4550608651143
0002R0000028,tmpl_0002R_0000,28,,4550608651150
0002R0000029,tmpl_0002R_0000,29,,5401180121755
0002R0000030,tmpl_0002R_0000,30,,5401132953205
0002R0000032,tmpl_0002R_0000,32,,4550608651198
0002R0000034,tmpl_0002R_0000,34,,4550608651211
0002S00010L,tmpl_0002S_0001,L,,5401180108008
0002S00010M,tmpl_0002S_0001,M,,5401180108015
0002S00010S,tmpl_0002S_0001,S,,4550608490100
0002S00010XL,tmpl_0002S_0001,XL,,5401180121762
0002S00010XS,tmpl_0002S_0001,XS,,4550608490124
0005S0000023,tmpl_0005S_0000,23,,4550608225979
0005S0000024,tmpl_0005S_0000,24,,5401132953243
0005S0000025,tmpl_0005S_0000,25,,4550608225993
0005S0000026,tmpl_0005S_0000,26,,4550608226006
0005S0000027,tmpl_0005S_0000,27,,5401132953274
0005S0000028,tmpl_0005S_0000,28,,4550608226020
0005S0000029,tmpl_0005S_0000,29,,5401132953298
0005S0000030,tmpl_0005S_0000,30,,5401132953304
0005S0000031,tmpl_0005S_0000,31,,5401132953311
0005S0000032,tmpl_0005S_0000,32,,5401132953328
0005S0000033,tmpl_0005S_0000,33,,4550608226075
0005S0000034,tmpl_0005S_0000,34,,5401132953342
000A400020100,tmpl_000A4_0002,100,,5401180756902
000A40002070,tmpl_000A4_0002,70,,4550609214712
000A40002075,tmpl_000A4_0002,75,,5401180559053
000A40002080,tmpl_000A4_0002,80,,4550609214736
000A40002085,tmpl_000A4_0002,85,,5401180559077
000A40002090,tmpl_000A4_0002,90,,5401180559084
000A40002095,tmpl_000A4_0002,95,,5401180559091
000A500000OS,tmpl_000A5_0000,OS,,5401180141746
000A500010OS,tmpl_000A5_0001,OS,,4550608557902
000A900000OS,tmpl_000A9_0000,OS,,5401132980454
000A900010OS,tmpl_000A9_0001,OS,,5401132980331
000A900020OS,tmpl_000A9_0002,OS,,5401132980461
000A900030OS,tmpl_000A9_0003,OS,,5401180141753
000A900040OS,tmpl_000A9_0004,OS,,5401180144037
000A900050OS,tmpl_000A9_0005,OS,,4550608557933
000A900060OS,tmpl_000A9_0006,OS,,4550608557940
000A900080OS,tmpl_000A9_0008,OS,,4550608557957
000A900100OS,tmpl_000A9_0010,OS,,5401180559107
000A900120OS,tmpl_000A9_0012,OS,,5401180559121
000A900140OS,tmpl_000A9_0014,OS,,4550609193000
000A900180OS,tmpl_000A9_0018,OS,,5401180559138
000A900220OS,tmpl_000A9_0022,OS,,5401180971589
000A900240OS,tmpl_000A9_0024,OS,,5401180971602
000A900250OS,tmpl_000A9_0025,OS,,4550609900974
000A900260OS,tmpl_000A9_0026,OS,,5401221352889
000A900290OS,tmpl_000A9_0029,OS,,4550703002161
000A900300OS,tmpl_000A9_0030,OS,,5401221352896
000A900310OS,tmpl_000A9_0031,OS,,4550703200130
000A900320OS,tmpl_000A9_0032,OS,,5401221352919
000AA00010OS,tmpl_000AA_0001,OS,,4550608174710
000AA00020OS,tmpl_000AA_0002,OS,,5401180559145
000AE00010L,tmpl_000AE_0001,L,,5401180142385
000AE00010M,tmpl_000AE_0001,M,,5401180142392
000AE00010S,tmpl_000AE_0001,S,,5401180142408
000AE00030L,tmpl_000AE_0003,L,,4550609193031
000AE00030M,tmpl_000AE_0003,M,,4550609193048
000AE00030S,tmpl_000AE_0003,S,,4550609193055
000AG00000OS,tmpl_000AG_0000,OS,,5401132980508
000AG00010OS,tmpl_000AG_0001,OS,,5401132980515
000AG00020OS,tmpl_000AG_0002,OS,,4550608174734
000AG00030OS,tmpl_000AG_0003,OS,,5401180142422
000AG00050OS,tmpl_000AG_0005,OS,,4550608558077
000AG00080OS,tmpl_000AG_0008,OS,,5401180541836
000AG00110OS,tmpl_000AG_0011,OS,,4550609143876
000AG00130OS,tmpl_000AG_0013,OS,,4550609193086
000AG00170OS,tmpl_000AG_0017,OS,,4550609901193
000AG00190OS,tmpl_000AG_0019,OS,,4550609901209
000AG00340OS,tmpl_000AG_0034,OS,,5401221841994
000EX00000L,tmpl_000EX_0000,L,,4550609223714
000EX00000M,tmpl_000EX_0000,M,,4550609223721
000EX00000S,tmpl_000EX_0000,S,,5401180172399
000EX00000XL,tmpl_000EX_0000,XL,,4550609223745
000EX00000XS,tmpl_000EX_0000,XS,,5401180172412
000EX00020L,tmpl_000EX_0002,L,,5401180172429
000EX00020M,tmpl_000EX_0002,M,,4550609223790
000EX00020S,tmpl_000EX_0002,S,,4550609223806
000EX00020XL,tmpl_000EX_0002,XL,,4550609223813
000EX00020XS,tmpl_000EX_0002,XS,,5401180172467
000EX00030L,tmpl_000EX_0003,L,,5401180170371
000EX00030M,tmpl_000EX_0003,M,,5401180170388
000EX00030S,tmpl_000EX_0003,S,,4550609223875
000EX00030XL,tmpl_000EX_0003,XL,,5401180177462
000EX00030XS,tmpl_000EX_0003,XS,,5401180170401
000EY00000L,tmpl_000EY_0000,L,,4550608650962
000EY00000M,tmpl_000EY_0000,M,,5401180171170
000EY00000S,tmpl_000EY_0000,S,,4550608650986
000EY00000XL,tmpl_000EY_0000,XL,,5401180171187
000EY00000XS,tmpl_000EY_0000,XS,,4550608651006
000EY00010L,tmpl_000EY_0001,L,,4550608651037
000EY00010M,tmpl_000EY_0001,M,,4550608651044
000EY00010S,tmpl_000EY_0001,S,,4550608651051
000EY00010XL,tmpl_000EY_0001,XL,,5401180171224
000EY00010XS,tmpl_000EY_0001,XS,,4550608651075
000EZ00000L,tmpl_000EZ_0000,L,,5401180036448
000EZ00000M,tmpl_000EZ_0000,M,,5401180036455
000EZ00000S,tmpl_000EZ_0000,S,,5401180036462
000EZ00000XL,tmpl_000EZ_0000,XL,,5401180036479
000EZ00000XS,tmpl_000EZ_0000,XS,,5401180036486
000H000000L,tmpl_000H0_0000,L,,4550608702135
000H000000M,tmpl_000H0_0000,M,,5401180333103
000H000000S,tmpl_000H0_0000,S,,4550608702159
000H000000XL,tmpl_000H0_0000,XL,,4550608702166
000H000000XS,tmpl_000H0_0000,XS,,4550608702173
000H000000XXL,tmpl_000H0_0000,XXL,,5401180333141
000H000010L,tmpl_000H0_0001,L,,5401180333158
000H000010M,tmpl_000H0_0001,M,,4550608701961
000H000010S,tmpl_000H0_0001,S,,4550608701978
000H000010XL,tmpl_000H0_0001,XL,,4550608701985
000H000010XS,tmpl_000H0_0001,XS,,5401180333196
000H000010XXL,tmpl_000H0_0001,XXL,,4550608702005
000H000060L,tmpl_000H0_0006,L,,4550608702401
000H000060M,tmpl_000H0_0006,M,,4550608702418
000H000060S,tmpl_000H0_0006,S,,5401180333233
000H000060XL,tmpl_000H0_0006,XL,,5401180333240
000H000060XS,tmpl_000H0_0006,XS,,4550608702449
000H000060XXL,tmpl_000H0_0006,XXL,,4550608702456
000H000070L,tmpl_000H0_0007,L,,4550608702494
000H000070M,tmpl_000H0_0007,M,,5401180333288
000H000070S,tmpl_000H0_0007,S,,5401180333295
000H000070XL,tmpl_000H0_0007,XL,,4550608702524
000H000070XS,tmpl_000H0_0007,XS,,5401180333318
000H000070XXL,tmpl_000H0_0007,XXL,,4550608702548
000H000210L,tmpl_000H0_0021,L,,4550608776938
000H000210M,tmpl_000H0_0021,M,,5401180413768
000H000210S,tmpl_000H0_0021,S,,4550608776952
000H000210XL,tmpl_000H0_0021,XL,,5401180413782
