code,pph_kind,bupot_object_code,coa_code,name,tarif,legal_basis
Z5-AC,pph_23,24-101-01,2104100005,Deviden tidak termasuk deviden kepada Wajib Pajak orang pribadi dalam negeri,15.0,UU PPh Pasal 23
Z5-AD,pph_23,24-102-01,2104100005,Bunga tidak termasuk bunga yang menjadi objek PPh Pasal 4 ayat (2),15.0,UU PPh Pasal 23
Z5-AE,pph_23,24-103-01,2104100005,Royalti,15.0,UU PPh Pasal 23
Z5-AA,pph_23,24-100-01,2104100005,"Hadiah, penghargaan, bonus dan lainnya selain yang telah dipotong PPh Pasal 21 ayat (1) huruf e UU PPh",15.0,UU PPh Pasal 23
Z5-AB,pph_23,24-100-02,2104100005,Sewa dan penghasilan lain sehubungan dengan penggunaan harta kecuali sewa tanah dan bangunan yang telah dikenai PPh Pasal 4 ayat (2) UU PPh,2.0,UU PPh Pasal 23
Z5-AF,pph_23,24-104-01,2104100005,Jasa Teknik,2.0,UU PPh Pasal 23
Z5-AJ,pph_23,24-104-02,2104100005,Jasa Management,2.0,UU PPh Pasal 23
Z5-AH,pph_23,24-104-03,2104100005,Jasa Konsultan,2.0,UU PPh Pasal 23
Z5-AL,pph_23,24-104-04,2104100005,Jasa Penilai (Appraisal),2.0,UU PPh Pasal 23
Z5-AM,pph_23,24-104-05,2104100005,Jasa Aktuaris,2.0,UU PPh Pasal 23
Z5-AN,pph_23,24-104-06,2104100005,"Jasa Akuntansi, Pembukuan, dan Atestasi Laporan Keuangan",2.0,UU PPh Pasal 23
Z5-AO,pph_23,24-104-07,2104100005,Jasa Hukum,2.0,UU PPh Pasal 23
Z5-AP,pph_23,24-104-08,2104100005,Jasa Arsitektur,2.0,UU PPh Pasal 23
Z5-AQ,pph_23,24-104-09,2104100005,Jasa perencanaan kota dan arsitektur landscape,2.0,UU PPh Pasal 23
Z5-AR,pph_23,24-104-10,2104100005,Jasa Perancang (Design),2.0,UU PPh Pasal 23
Z5-AS,pph_23,24-104-11,2104100005,Jasa Pengeboran (Drilling) Di Bidang Penambangan Minyak dan Gas Bumi (Migas) Kecuali Yang Dilakukan Oleh Badan Usaha Tetap (But),2.0,UU PPh Pasal 23
Z5-AT,pph_23,24-104-12,2104100005,Jasa Penunjang Di Bidang Usaha Panas Bumi dan Penambangan Minyak dan Gas Bumi (Migas),2.0,UU PPh Pasal 23
Z5-AU,pph_23,24-104-13,2104100005,Jasa Penambangan dan Jasa Penunjang Di Bidang Usaha Panas Bumi dan Penambangan Minyak dan Gas Bumi (Migas),2.0,UU PPh Pasal 23
Z5-AV,pph_23,24-104-14,2104100005,Jasa Penunjang Di Bidang Penerbangan dan Bandar Udara,2.0,UU PPh Pasal 23
Z5-AW,pph_23,24-104-15,2104100005,Jasa Penebangan Hutan,2.0,UU PPh Pasal 23
Z5-AX,pph_23,24-104-16,2104100005,Jasa Pengolahan Limbah,2.0,UU PPh Pasal 23
Z5-AY,pph_23,24-104-17,2104100005,Jasa Penyedia Tenaga Kerja dan/atau Tenaga Ahli (Outsourcing Services),2.0,UU PPh Pasal 23
Z5-AZ,pph_23,24-104-18,2104100005,Jasa Perantara dan/atau Keagenan,2.0,UU PPh Pasal 23
Z5-BA,pph_23,24-104-19,2104100005,"Jasa Bidang Perdagangan Surat-Surat Berharga, Kecuali Yang Dilakukan Bursa Efek, Kustodian Sentral Efek Indonesia (Ksei) dan Kliring Penjaminan Efek Indonesia (Kpei)",2.0,UU PPh Pasal 23
Z5-BB,pph_23,24-104-20,2104100005,"Jasa Kustodian/Penyimpanan/Penitipan, Kecuali Yang Dilakukan Oleh Ksei",2.0,UU PPh Pasal 23
Z5-BC,pph_23,24-104-21,2104100005,Jasa Pengisian Suara (Dubbing) dan/atau Sulih Suara,2.0,UU PPh Pasal 23
Z5-BD,pph_23,24-104-22,2104100005,Jasa Mixing Film,2.0,UU PPh Pasal 23
Z5-BE,pph_23,24-104-23,2104100005,"Jasa Pembuatan Sarana Promosi Film, Iklan, Poster, Foto, Slide, Klise, Banner, Pamphlet, Baliho dan Folder",2.0,UU PPh Pasal 23
Z5-BF,pph_23,24-104-24,2104100005,"Jasa Sehubungan Dengan Software Atau Hardware Atau Sistem Komputer, Termasuk Perawatan, Pemeliharaan dan Perbaikan.",2.0,UU PPh Pasal 23
Z5-BG,pph_23,24-104-25,2104100005,Jasa Pembuatan dan/atau Pengelolaan Website,2.0,UU PPh Pasal 23
Z5-BH,pph_23,24-104-26,2104100005,Jasa Internet Termasuk Sambungannya,2.0,UU PPh Pasal 23
Z5-BI,pph_23,24-104-27,2104100005,"Jasa Penyimpanan, Pengolahan dan/atau Penyaluran Data, Informasi, dan/atau Program",2.0,UU PPh Pasal 23
